FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
108795	3	FL1-H	FITC CD4				
108795	4	FL2-H	PE CD25				
108795	5	FL3-H	PP CD3				
108795	6	FL4-H	APC CD45RA				
119879	1	FSC-H	FSC				
119879	2	SSC-H	SSC				
119879	3	FL1-H	FITC CD4				
119879	4	FL2-H	PE CD25				
119879	5	FL3-H	PP CD3				
119879	6	FL4-H	APC CD45RO				
129113	1	FSC-H	FSC				
129113	2	SSC-H	SSC				
129113	3	FL1-H	FITC CD4				
129113	4	FL2-H	PE CXCR3				
129113	5	FL3-H	PP CD8				
129113	6	FL4-H	APC CCR5				
142198	1	FSC-H	FSC				
142198	2	SSC-H	SSC				
142198	3	FL1-H	FITC CD56				
142198	4	FL2-H	PE CXCR3				
142198	5	FL3-H	PP CD3				
142198	6	FL4-H	APC CCR5				
138258	1	FSC-H	FSC				
138258	2	SSC-H	SSC				
138258	3	FL1-H	AUTO1				
138258	4	FL2-H	AUTO2				
138258	5	FL3-H	AUTO3				
138258	6	FL4-H	AUTO4				
121425	1	FSC-H	Forward Scatter				
121425	2	SSC-H	Side Scatter				
121425	3	FL1-H	Anti-HLA-DR FITC				
121425	4	FL2-H	PE CD123				
121425	5	FL3-H	PP CD3 14 19 56				
121425	6	FL4-H	APC CD11C				
119512	1	FSC-H	FSC				
119512	2	SSC-H	SSC				
119512	3	FL1-H	FITC CD14				
119512	4	FL2-H	PE CD23				
119512	5	FL3-H	PP CD3				
119512	6	FL4-H	APC CD19				
131745	1	FSC-H	FSC				
131745	2	SSC-H	SSC				
131745	3	FL1-H	FITC CD4				
131745	4	FL2-H	PE CCR3				
131745	5	FL3-H	PP CD8				
131745	6	FL4-H	APC CCR4				
100265	1	FSC-H	FSC				
100265	2	SSC-H	SSC				
100265	3	FL1-H	FITC CD4				
100265	4	FL2-H	PE CD25				
100265	5	FL3-H	PP CD3				
100265	6	FL4-H	APC CD161				
124652	1	FSC-H	FSC				
124652	2	SSC-H	SSC				
124652	3	FL1-H	FITC CD4				
124652	4	FL2-H	PE CD25				
124652	5	FL3-H	PP CD3				
124652	6	FL4-H	APC CD45RA				
76727	1	FSC-H	FSC				
76727	2	SSC-H	SSC				
76727	3	FL1-H	FITC CD4				
76727	4	FL2-H	PE CD25				
76727	5	FL3-H	PP CD3				
76727	6	FL4-H	APC CD45RO				
144155	1	FSC-H	FSC				
144155	2	SSC-H	SSC				
144155	3	FL1-H	FITC CD4				
144155	4	FL2-H	PE CXCR3				
144155	5	FL3-H	PP CD8				
144155	6	FL4-H	APC CCR5				
147153	1	FSC-H	FSC				
147153	2	SSC-H	SSC				
147153	3	FL1-H	FITC CD56				
147153	4	FL2-H	PE CXCR3				
147153	5	FL3-H	PP CD3				
147153	6	FL4-H	APC CCR5				
141510	1	FSC-H	FSC				
141510	2	SSC-H	SSC				
141510	3	FL1-H	AUTO1				
141510	4	FL2-H	AUTO2				
141510	5	FL3-H	AUTO3				
141510	6	FL4-H	AUTO4				
90545	1	FSC-H	Forward Scatter				
90545	2	SSC-H	Side Scatter				
90545	3	FL1-H	Anti-HLA-DR FITC				
90545	4	FL2-H	PE CD123				
90545	5	FL3-H	PP CD3 14 19 56				
90545	6	FL4-H	APC CD11C				
98557	1	FSC-H	FSC				
98557	2	SSC-H	SSC				
98557	3	FL1-H	FITC CD14				
98557	4	FL2-H	PE CD23				
98557	5	FL3-H	PP CD3				
98557	6	FL4-H	APC CD19				
111773	1	FSC-H	FSC				
111773	2	SSC-H	SSC				
111773	3	FL1-H	FITC CD4				
111773	4	FL2-H	PE CCR3				
111773	5	FL3-H	PP CD8				
111773	6	FL4-H	APC CCR4				
112227	1	FSC-H	FSC				
112227	2	SSC-H	SSC				
112227	3	FL1-H	FITC CD4				
112227	4	FL2-H	PE CD25				
112227	5	FL3-H	PP CD3				
112227	6	FL4-H	APC CD161				
76333	1	FSC-H	FSC				
76333	2	SSC-H	SSC				
76333	3	FL1-H	FITC CD4				
76333	4	FL2-H	PE CD25				
76333	5	FL3-H	PP CD3				
76333	6	FL4-H	APC CD45RA				
132474	1	FSC-H	FSC				
132474	2	SSC-H	SSC				
132474	3	FL1-H	FITC CD4				
132474	4	FL2-H	PE CD25				
132474	5	FL3-H	PP CD3				
132474	6	FL4-H	APC CD45RO				
95925	1	FSC-H	FSC				
95925	2	SSC-H	SSC				
95925	3	FL1-H	FITC CD4				
95925	4	FL2-H	PE CXCR3				
95925	5	FL3-H	PP CD8				
95925	6	FL4-H	APC CCR5				
87005	1	FSC-H	FSC				
87005	2	SSC-H	SSC				
87005	3	FL1-H	FITC CD56				
87005	4	FL2-H	PE CXCR3				
87005	5	FL3-H	PP CD3				
87005	6	FL4-H	APC CCR5				
134996	1	FSC-H	FSC				
134996	2	SSC-H	SSC				
134996	3	FL1-H	AUTO1				
134996	4	FL2-H	AUTO2				
134996	5	FL3-H	AUTO3				
134996	6	FL4-H	AUTO4				
128098	1	FSC-H	Forward Scatter				
128098	2	SSC-H	Side Scatter				
128098	3	FL1-H	Anti-HLA-DR FITC				
128098	4	FL2-H	PE CD123				
128098	5	FL3-H	PP CD3 14 19 56				
128098	6	FL4-H	APC CD11C				
97917	1	FSC-H	FSC				
97917	2	SSC-H	SSC				
97917	3	FL1-H	FITC CD14				
97917	4	FL2-H	PE CD23				
97917	5	FL3-H	PP CD3				
97917	6	FL4-H	APC CD19				
128529	1	FSC-H	FSC				
128529	2	SSC-H	SSC				
128529	3	FL1-H	FITC CD4				
128529	4	FL2-H	PE CCR3				
128529	5	FL3-H	PP CD8				
128529	6	FL4-H	APC CCR4				
101790	1	FSC-H	FSC				
101790	2	SSC-H	SSC				
101790	3	FL1-H	FITC CD4				
101790	4	FL2-H	PE CD25				
101790	5	FL3-H	PP CD3				
101790	6	FL4-H	APC CD161				
146547	1	FSC-H	FSC				
146547	2	SSC-H	SSC				
146547	3	FL1-H	FITC CD4				
146547	4	FL2-H	PE CD25				
146547	5	FL3-H	PP CD3				
146547	6	FL4-H	APC CD45RA				
127913	1	FSC-H	FSC				
127913	2	SSC-H	SSC				
127913	3	FL1-H	FITC CD4				
127913	4	FL2-H	PE CD25				
127913	5	FL3-H	PP CD3				
127913	6	FL4-H	APC CD45RO				
121597	1	FSC-H	FSC				
121597	2	SSC-H	SSC				
121597	3	FL1-H	FITC CD4				
121597	4	FL2-H	PE CXCR3				
121597	5	FL3-H	PP CD8				
121597	6	FL4-H	APC CCR5				
149891	1	FSC-H	FSC				
149891	2	SSC-H	SSC				
149891	3	FL1-H	FITC CD56				
149891	4	FL2-H	PE CXCR3				
149891	5	FL3-H	PP CD3				
149891	6	FL4-H	APC CCR5				
119073	1	FSC-H	FSC				
119073	2	SSC-H	SSC				
119073	3	FL1-H	AUTO1				
119073	4	FL2-H	AUTO2				
119073	5	FL3-H	AUTO3				
119073	6	FL4-H	AUTO4				
103089	1	FSC-H	Forward Scatter				
103089	2	SSC-H	Side Scatter				
103089	3	FL1-H	Anti-HLA-DR FITC				
103089	4	FL2-H	PE CD123				
103089	5	FL3-H	PP CD3 14 19 56				
103089	6	FL4-H	APC CD11C				
143749	1	FSC-H	FSC				
143749	2	SSC-H	SSC				
143749	3	FL1-H	FITC CD14				
143749	4	FL2-H	PE CD23				
143749	5	FL3-H	PP CD3				
143749	6	FL4-H	APC CD19				
78508	1	FSC-H	FSC				
78508	2	SSC-H	SSC				
78508	3	FL1-H	FITC CD4				
78508	4	FL2-H	PE CCR3				
78508	5	FL3-H	PP CD8				
78508	6	FL4-H	APC CCR4				
90245	1	FSC-H	FSC				
90245	2	SSC-H	SSC				
90245	3	FL1-H	FITC CD4				
90245	4	FL2-H	PE CD25				
90245	5	FL3-H	PP CD3				
90245	6	FL4-H	APC CD161				
134533	1	FSC-H	FSC				
134533	2	SSC-H	SSC				
134533	3	FL1-H	FITC CD4				
134533	4	FL2-H	PE CD25				
134533	5	FL3-H	PP CD3				
134533	6	FL4-H	APC CD45RA				
133995	1	FSC-H	FSC				
133995	2	SSC-H	SSC				
133995	3	FL1-H	FITC CD4				
133995	4	FL2-H	PE CD25				
133995	5	FL3-H	PP CD3				
133995	6	FL4-H	APC CD45RO				
144375	1	FSC-H	FSC				
144375	2	SSC-H	SSC				
144375	3	FL1-H	FITC CD4				
144375	4	FL2-H	PE CXCR3				
144375	5	FL3-H	PP CD8				
144375	6	FL4-H	APC CCR5				
87115	1	FSC-H	FSC				
87115	2	SSC-H	SSC				
87115	3	FL1-H	FITC CD56				
87115	4	FL2-H	PE CXCR3				
87115	5	FL3-H	PP CD3				
87115	6	FL4-H	APC CCR5				
108609	1	FSC-H	FSC				
108609	2	SSC-H	SSC				
108609	3	FL1-H	AUTO1				
108609	4	FL2-H	AUTO2				
108609	5	FL3-H	AUTO3				
108609	6	FL4-H	AUTO4				
121606	1	FSC-H	FSC				
121606	2	SSC-H	SSC				
121606	3	FL1-H	FITC CD14				
121606	4	FL2-H	PE CD23				
121606	5	FL3-H	PP CD3				
121606	6	FL4-H	APC CD19				
96874	1	FSC-H	FSC				
96874	2	SSC-H	SSC				
96874	3	FL1-H	FITC CD4				
96874	4	FL2-H	PE CCR3				
96874	5	FL3-H	PP CD8				
96874	6	FL4-H	APC CCR4				
142511	1	FSC-H	FSC				
142511	2	SSC-H	SSC				
142511	3	FL1-H	FITC CD4				
142511	4	FL2-H	PE CD25				
142511	5	FL3-H	PP CD3				
142511	6	FL4-H	APC CD161				
150524	1	FSC-H	FSC				
150524	2	SSC-H	SSC				
150524	3	FL1-H	FITC CD4				
150524	4	FL2-H	PE CD25				
150524	5	FL3-H	PP CD3				
150524	6	FL4-H	APC CD45RA				
111139	1	FSC-H	FSC				
111139	2	SSC-H	SSC				
111139	3	FL1-H	FITC CD4				
111139	4	FL2-H	PE CD25				
111139	5	FL3-H	PP CD3				
111139	6	FL4-H	APC CD45RO				
85511	1	FSC-H	FSC				
85511	2	SSC-H	SSC				
85511	3	FL1-H	FITC CD4				
85511	4	FL2-H	PE CXCR3				
85511	5	FL3-H	PP CD8				
85511	6	FL4-H	APC CCR5				
100596	1	FSC-H	FSC				
100596	2	SSC-H	SSC				
100596	3	FL1-H	FITC CD56				
100596	4	FL2-H	PE CXCR3				
100596	5	FL3-H	PP CD3				
100596	6	FL4-H	APC CCR5				
88699	1	FSC-H	FSC				
88699	2	SSC-H	SSC				
88699	3	FL1-H	AUTO1				
88699	4	FL2-H	AUTO2				
88699	5	FL3-H	AUTO3				
88699	6	FL4-H	AUTO4				
102236	1	FSC-H	Forward Scatter				
102236	2	SSC-H	Side Scatter				
102236	3	FL1-H	Anti-HLA-DR FITC				
102236	4	FL2-H	PE CD123				
102236	5	FL3-H	PP CD3 14 19 56				
102236	6	FL4-H	APC CD11C				
131166	1	FSC-H	FSC				
131166	2	SSC-H	SSC				
131166	3	FL1-H	FITC CD14				
131166	4	FL2-H	PE CD23				
131166	5	FL3-H	PP CD3				
131166	6	FL4-H	APC CD19				
101312	1	FSC-H	FSC				
101312	2	SSC-H	SSC				
101312	3	FL1-H	FITC CD4				
101312	4	FL2-H	PE CCR3				
101312	5	FL3-H	PP CD8				
101312	6	FL4-H	APC CCR4				
102210	1	FSC-H	FSC				
102210	2	SSC-H	SSC				
102210	3	FL1-H	FITC CD4				
102210	4	FL2-H	PE CD25				
102210	5	FL3-H	PP CD3				
102210	6	FL4-H	APC CD161				
100255	1	FSC-H	FSC				
100255	2	SSC-H	SSC				
100255	3	FL1-H	FITC CD4				
100255	4	FL2-H	PE CD25				
100255	5	FL3-H	PP CD3				
100255	6	FL4-H	APC CD45RA				
115312	1	FSC-H	FSC				
115312	2	SSC-H	SSC				
115312	3	FL1-H	FITC CD4				
115312	4	FL2-H	PE CD25				
115312	5	FL3-H	PP CD3				
115312	6	FL4-H	APC CD45RO				
145502	1	FSC-H	FSC				
145502	2	SSC-H	SSC				
145502	3	FL1-H	FITC CD4				
145502	4	FL2-H	PE CXCR3				
145502	5	FL3-H	PP CD8				
145502	6	FL4-H	APC CCR5				
115578	1	FSC-H	FSC				
115578	2	SSC-H	SSC				
115578	3	FL1-H	FITC CD56				
115578	4	FL2-H	PE CXCR3				
115578	5	FL3-H	PP CD3				
115578	6	FL4-H	APC CCR5				
82695	1	FSC-H	FSC				
82695	2	SSC-H	SSC				
82695	3	FL1-H	AUTO1				
82695	4	FL2-H	AUTO2				
82695	5	FL3-H	AUTO3				
82695	6	FL4-H	AUTO4				
80488	1	FSC-H	Forward Scatter				
80488	2	SSC-H	Side Scatter				
80488	3	FL1-H	Anti-HLA-DR FITC				
80488	4	FL2-H	PE CD123				
80488	5	FL3-H	PP CD3 14 19 56				
80488	6	FL4-H	APC CD11C				
92009	1	FSC-H	FSC				
92009	2	SSC-H	SSC				
92009	3	FL1-H	FITC CD14				
92009	4	FL2-H	PE CD23				
92009	5	FL3-H	PP CD3				
92009	6	FL4-H	APC CD19				
100700	1	FSC-H	FSC				
100700	2	SSC-H	SSC				
100700	3	FL1-H	FITC CD4				
100700	4	FL2-H	PE CCR3				
100700	5	FL3-H	PP CD8				
100700	6	FL4-H	APC CCR4				
94253	1	FSC-H	FSC				
94253	2	SSC-H	SSC				
94253	3	FL1-H	FITC CD4				
94253	4	FL2-H	PE CD25				
94253	5	FL3-H	PP CD3				
94253	6	FL4-H	APC CD161				
145278	1	FSC-H	FSC				
145278	2	SSC-H	SSC				
145278	3	FL1-H	FITC CD4				
145278	4	FL2-H	PE CD25				
145278	5	FL3-H	PP CD3				
145278	6	FL4-H	APC CD45RA				
96316	1	FSC-H	FSC				
96316	2	SSC-H	SSC				
96316	3	FL1-H	FITC CD4				
96316	4	FL2-H	PE CD25				
96316	5	FL3-H	PP CD3				
96316	6	FL4-H	APC CD45RO				
106746	1	FSC-H	FSC				
106746	2	SSC-H	SSC				
106746	3	FL1-H	FITC CD4				
106746	4	FL2-H	PE CXCR3				
106746	5	FL3-H	PP CD8				
106746	6	FL4-H	APC CCR5				
105610	1	FSC-H	FSC				
105610	2	SSC-H	SSC				
105610	3	FL1-H	FITC CD56				
105610	4	FL2-H	PE CXCR3				
105610	5	FL3-H	PP CD3				
105610	6	FL4-H	APC CCR5				
110665	1	FSC-H	FSC				
110665	2	SSC-H	SSC				
110665	3	FL1-H	AUTO1				
110665	4	FL2-H	AUTO2				
110665	5	FL3-H	AUTO3				
110665	6	FL4-H	AUTO4				
84470	1	FSC-H	Forward Scatter				
84470	2	SSC-H	Side Scatter				
84470	3	FL1-H	Anti-HLA-DR FITC				
84470	4	FL2-H	PE CD123				
84470	5	FL3-H	PP CD3 14 19 56				
84470	6	FL4-H	APC CD11C				
125804	1	FSC-H	FSC				
125804	2	SSC-H	SSC				
125804	3	FL1-H	FITC CD14				
125804	4	FL2-H	PE CD23				
125804	5	FL3-H	PP CD3				
125804	6	FL4-H	APC CD19				
116931	1	FSC-H	FSC				
116931	2	SSC-H	SSC				
116931	3	FL1-H	FITC CD4				
116931	4	FL2-H	PE CCR3				
116931	5	FL3-H	PP CD8				
116931	6	FL4-H	APC CCR4				
128782	1	FSC-H	FSC				
128782	2	SSC-H	SSC				
128782	3	FL1-H	FITC CD4				
128782	4	FL2-H	PE CD25				
128782	5	FL3-H	PP CD3				
128782	6	FL4-H	APC CD161				
125821	1	FSC-H	FSC				
125821	2	SSC-H	SSC				
125821	3	FL1-H	FITC CD4				
125821	4	FL2-H	PE CD25				
125821	5	FL3-H	PP CD3				
125821	6	FL4-H	APC CD45RA				
97628	1	FSC-H	FSC				
97628	2	SSC-H	SSC				
97628	3	FL1-H	FITC CD4				
97628	4	FL2-H	PE CD25				
97628	5	FL3-H	PP CD3				
97628	6	FL4-H	APC CD45RO				
118099	1	FSC-H	FSC				
118099	2	SSC-H	SSC				
118099	3	FL1-H	FITC CD4				
118099	4	FL2-H	PE CXCR3				
118099	5	FL3-H	PP CD8				
118099	6	FL4-H	APC CCR5				
101471	1	FSC-H	FSC				
101471	2	SSC-H	SSC				
101471	3	FL1-H	FITC CD56				
101471	4	FL2-H	PE CXCR3				
101471	5	FL3-H	PP CD3				
101471	6	FL4-H	APC CCR5				
142025	1	FSC-H	FSC				
142025	2	SSC-H	SSC				
142025	3	FL1-H	AUTO1				
142025	4	FL2-H	AUTO2				
142025	5	FL3-H	AUTO3				
142025	6	FL4-H	AUTO4				
90083	1	FSC-H	Forward Scatter				
90083	2	SSC-H	Side Scatter				
90083	3	FL1-H	Anti-HLA-DR FITC				
90083	4	FL2-H	PE CD123				
90083	5	FL3-H	PP CD3 14 19 56				
90083	6	FL4-H	APC CD11C				
98437	1	FSC-H	FSC				
98437	2	SSC-H	SSC				
98437	3	FL1-H	FITC CD14				
98437	4	FL2-H	PE CD23				
98437	5	FL3-H	PP CD3				
98437	6	FL4-H	APC CD19				
107973	1	FSC-H	FSC				
107973	2	SSC-H	SSC				
107973	3	FL1-H	FITC CD4				
107973	4	FL2-H	PE CCR3				
107973	5	FL3-H	PP CD8				
107973	6	FL4-H	APC CCR4				
85232	1	FSC-H	FSC				
85232	2	SSC-H	SSC				
85232	3	FL1-H	FITC CD4				
85232	4	FL2-H	PE CD25				
85232	5	FL3-H	PP CD3				
85232	6	FL4-H	APC CD161				
96660	1	FSC-H	FSC				
96660	2	SSC-H	SSC				
96660	3	FL1-H	FITC CD4				
96660	4	FL2-H	PE CD25				
96660	5	FL3-H	PP CD3				
96660	6	FL4-H	APC CD45RA				
85213	1	FSC-H	FSC				
85213	2	SSC-H	SSC				
85213	3	FL1-H	FITC CD4				
85213	4	FL2-H	PE CD25				
85213	5	FL3-H	PP CD3				
85213	6	FL4-H	APC CD45RO				
99561	1	FSC-H	FSC				
99561	2	SSC-H	SSC				
99561	3	FL1-H	FITC CD4				
99561	4	FL2-H	PE CXCR3				
99561	5	FL3-H	PP CD8				
99561	6	FL4-H	APC CCR5				
126056	1	FSC-H	FSC				
126056	2	SSC-H	SSC				
126056	3	FL1-H	FITC CD56				
126056	4	FL2-H	PE CXCR3				
126056	5	FL3-H	PP CD3				
126056	6	FL4-H	APC CCR5				
83290	1	FSC-H	FSC				
83290	2	SSC-H	SSC				
83290	3	FL1-H	AUTO1				
83290	4	FL2-H	AUTO2				
83290	5	FL3-H	AUTO3				
83290	6	FL4-H	AUTO4				
116308	1	FSC-H	Forward Scatter				
116308	2	SSC-H	Side Scatter				
116308	3	FL1-H	Anti-HLA-DR FITC				
116308	4	FL2-H	PE CD123				
116308	5	FL3-H	PP CD3 14 19 56				
116308	6	FL4-H	APC CD11C				
137795	1	FSC-H	FSC				
137795	2	SSC-H	SSC				
137795	3	FL1-H	FITC CD14				
137795	4	FL2-H	PE CD23				
137795	5	FL3-H	PP CD3				
137795	6	FL4-H	APC CD19				
124432	1	FSC-H	FSC				
124432	2	SSC-H	SSC				
124432	3	FL1-H	FITC CD4				
124432	4	FL2-H	PE CCR3				
124432	5	FL3-H	PP CD8				
124432	6	FL4-H	APC CCR4				
144830	1	FSC-H	FSC				
144830	2	SSC-H	SSC				
144830	3	FL1-H	FITC CD4				
144830	4	FL2-H	PE CD25				
144830	5	FL3-H	PP CD3				
144830	6	FL4-H	APC CD161				
131851	1	FSC-H	FSC				
131851	2	SSC-H	SSC				
131851	3	FL1-H	FITC CD4				
131851	4	FL2-H	PE CD25				
131851	5	FL3-H	PP CD3				
131851	6	FL4-H	APC CD45RA				
121738	1	FSC-H	FSC				
121738	2	SSC-H	SSC				
121738	3	FL1-H	FITC CD4				
121738	4	FL2-H	PE CD25				
121738	5	FL3-H	PP CD3				
121738	6	FL4-H	APC CD45RO				
125258	1	FSC-H	FSC				
125258	2	SSC-H	SSC				
125258	3	FL1-H	FITC CD4				
125258	4	FL2-H	PE CXCR3				
125258	5	FL3-H	PP CD8				
125258	6	FL4-H	APC CCR5				
105748	1	FSC-H	FSC				
105748	2	SSC-H	SSC				
105748	3	FL1-H	FITC CD56				
105748	4	FL2-H	PE CXCR3				
105748	5	FL3-H	PP CD3				
105748	6	FL4-H	APC CCR5				
112514	1	FSC-H	FSC				
112514	2	SSC-H	SSC				
112514	3	FL1-H	AUTO1				
112514	4	FL2-H	AUTO2				
112514	5	FL3-H	AUTO3				
112514	6	FL4-H	AUTO4				
148979	1	FSC-H	Forward Scatter				
148979	2	SSC-H	Side Scatter				
148979	3	FL1-H	Anti-HLA-DR FITC				
148979	4	FL2-H	PE CD123				
148979	5	FL3-H	PP CD3 14 19 56				
148979	6	FL4-H	APC CD11C				
100488	1	FSC-H	FSC				
100488	2	SSC-H	SSC				
100488	3	FL1-H	FITC CD14				
100488	4	FL2-H	PE CD23				
100488	5	FL3-H	PP CD3				
100488	6	FL4-H	APC CD19				
147412	1	FSC-H	FSC				
147412	2	SSC-H	SSC				
147412	3	FL1-H	FITC CD4				
147412	4	FL2-H	PE CCR3				
147412	5	FL3-H	PP CD8				
147412	6	FL4-H	APC CCR4				
77888	1	FSC-H	FSC				
77888	2	SSC-H	SSC				
77888	3	FL1-H	FITC CD4				
77888	4	FL2-H	PE CD25				
77888	5	FL3-H	PP CD3				
77888	6	FL4-H	APC CD161				
143786	1	FSC-H	FSC				
143786	2	SSC-H	SSC				
143786	3	FL1-H	FITC CD4				
143786	4	FL2-H	PE CD25				
143786	5	FL3-H	PP CD3				
143786	6	FL4-H	APC CD45RA				
79411	1	FSC-H	FSC				
79411	2	SSC-H	SSC				
79411	3	FL1-H	FITC CD4				
79411	4	FL2-H	PE CD25				
79411	5	FL3-H	PP CD3				
79411	6	FL4-H	APC CD45RO				
138323	1	FSC-H	FSC				
138323	2	SSC-H	SSC				
138323	3	FL1-H	FITC CD4				
138323	4	FL2-H	PE CXCR3				
138323	5	FL3-H	PP CD8				
138323	6	FL4-H	APC CCR5				
102501	1	FSC-H	FSC				
102501	2	SSC-H	SSC				
102501	3	FL1-H	FITC CD56				
102501	4	FL2-H	PE CXCR3				
102501	5	FL3-H	PP CD3				
102501	6	FL4-H	APC CCR5				
149522	1	FSC-H	FSC				
149522	2	SSC-H	SSC				
149522	3	FL1-H	AUTO1				
149522	4	FL2-H	AUTO2				
149522	5	FL3-H	AUTO3				
149522	6	FL4-H	AUTO4				
119079	1	FSC-H	FSC				
119079	2	SSC-H	SSC				
119079	3	FL1-H	FITC CD14				
119079	4	FL2-H	PE CD23				
119079	5	FL3-H	PP CD3				
119079	6	FL4-H	APC CD19				
115483	1	FSC-H	FSC				
115483	2	SSC-H	SSC				
115483	3	FL1-H	FITC CD4				
115483	4	FL2-H	PE CCR3				
115483	5	FL3-H	PP CD8				
115483	6	FL4-H	APC CCR4				
104568	1	FSC-H	FSC				
104568	2	SSC-H	SSC				
104568	3	FL1-H	FITC CD4				
104568	4	FL2-H	PE CD25				
104568	5	FL3-H	PP CD3				
104568	6	FL4-H	APC CD161				
125423	1	FSC-H	FSC				
125423	2	SSC-H	SSC				
125423	3	FL1-H	FITC CD4				
125423	4	FL2-H	PE CD25				
125423	5	FL3-H	PP CD3				
125423	6	FL4-H	APC CD45RA				
94813	1	FSC-H	FSC				
94813	2	SSC-H	SSC				
94813	3	FL1-H	FITC CD4				
94813	4	FL2-H	PE CD25				
94813	5	FL3-H	PP CD3				
94813	6	FL4-H	APC CD45RO				
144482	1	FSC-H	FSC				
144482	2	SSC-H	SSC				
144482	3	FL1-H	FITC CD4				
144482	4	FL2-H	PE CXCR3				
144482	5	FL3-H	PP CD8				
144482	6	FL4-H	APC CCR5				
142738	1	FSC-H	Forward Scatter				
142738	2	SSC-H	Side Scatter				
142738	3	FL1-H	Anti-HLA-DR FITC				
142738	4	FL2-H	PE CD123				
142738	5	FL3-H	PP CD3 14 19 56				
142738	6	FL4-H	APC CD11C				
132367	1	FSC-H	FSC				
132367	2	SSC-H	SSC				
132367	3	FL1-H	FITC CD56				
132367	4	FL2-H	PE CXCR3				
132367	5	FL3-H	PP CD3				
132367	6	FL4-H	APC CCR5				
119632	1	FSC-H	FSC				
119632	2	SSC-H	SSC				
119632	3	FL1-H	AUTO1				
119632	4	FL2-H	AUTO2				
119632	5	FL3-H	AUTO3				
119632	6	FL4-H	AUTO4				
130609	1	FSC-H	Forward Scatter				
130609	2	SSC-H	Side Scatter				
130609	3	FL1-H	Anti-HLA-DR FITC				
130609	4	FL2-H	PE CD123				
130609	5	FL3-H	PP CD3 14 19 56				
130609	6	FL4-H	APC CD11C				
136259	1	FSC-H	FSC				
136259	2	SSC-H	SSC				
136259	3	FL1-H	FITC CD14				
136259	4	FL2-H	PE CD23				
136259	5	FL3-H	PP CD3				
136259	6	FL4-H	APC CD19				
88852	1	FSC-H	FSC				
88852	2	SSC-H	SSC				
88852	3	FL1-H	FITC CD4				
88852	4	FL2-H	PE CCR3				
88852	5	FL3-H	PP CD8				
88852	6	FL4-H	APC CCR4				
89057	1	FSC-H	FSC				
89057	2	SSC-H	SSC				
89057	3	FL1-H	FITC CD4				
89057	4	FL2-H	PE CD25				
89057	5	FL3-H	PP CD3				
89057	6	FL4-H	APC CD161				
142640	1	FSC-H	FSC				
142640	2	SSC-H	SSC				
142640	3	FL1-H	FITC CD4				
142640	4	FL2-H	PE CD25				
142640	5	FL3-H	PP CD3				
142640	6	FL4-H	APC CD45RA				
144249	1	FSC-H	FSC				
144249	2	SSC-H	SSC				
144249	3	FL1-H	FITC CD4				
144249	4	FL2-H	PE CD25				
144249	5	FL3-H	PP CD3				
144249	6	FL4-H	APC CD45RO				
99947	1	FSC-H	FSC				
99947	2	SSC-H	SSC				
99947	3	FL1-H	FITC CD4				
99947	4	FL2-H	PE CXCR3				
99947	5	FL3-H	PP CD8				
99947	6	FL4-H	APC CCR5				
106194	1	FSC-H	FSC				
106194	2	SSC-H	SSC				
106194	3	FL1-H	FITC CD56				
106194	4	FL2-H	PE CXCR3				
106194	5	FL3-H	PP CD3				
106194	6	FL4-H	APC CCR5				
77290	1	FSC-H	FSC				
77290	2	SSC-H	SSC				
77290	3	FL1-H	AUTO1				
77290	4	FL2-H	AUTO2				
77290	5	FL3-H	AUTO3				
77290	6	FL4-H	AUTO4				
95989	1	FSC-H	FSC				
95989	2	SSC-H	SSC				
95989	3	FL1-H	FITC CD14				
95989	4	FL2-H	PE CD23				
95989	5	FL3-H	PP CD3				
95989	6	FL4-H	APC CD19				
121014	1	FSC-H	FSC				
121014	2	SSC-H	SSC				
121014	3	FL1-H	FITC CD4				
121014	4	FL2-H	PE CCR3				
121014	5	FL3-H	PP CD8				
121014	6	FL4-H	APC CCR4				
101388	1	FSC-H	FSC				
101388	2	SSC-H	SSC				
101388	3	FL1-H	FITC CD4				
101388	4	FL2-H	PE CD25				
101388	5	FL3-H	PP CD3				
101388	6	FL4-H	APC CD161				
141679	1	FSC-H	FSC				
141679	2	SSC-H	SSC				
141679	3	FL1-H	FITC CD4				
141679	4	FL2-H	PE CD25				
141679	5	FL3-H	PP CD3				
141679	6	FL4-H	APC CD45RA				
98245	1	FSC-H	FSC				
98245	2	SSC-H	SSC				
98245	3	FL1-H	FITC CD4				
98245	4	FL2-H	PE CD25				
98245	5	FL3-H	PP CD3				
98245	6	FL4-H	APC CD45RO				
84319	1	FSC-H	FSC				
84319	2	SSC-H	SSC				
84319	3	FL1-H	FITC CD4				
84319	4	FL2-H	PE CXCR3				
84319	5	FL3-H	PP CD8				
84319	6	FL4-H	APC CCR5				
115124	1	FSC-H	Forward Scatter				
115124	2	SSC-H	Side Scatter				
115124	3	FL1-H	Anti-HLA-DR FITC				
115124	4	FL2-H	PE CD123				
115124	5	FL3-H	PP CD3 14 19 56				
115124	6	FL4-H	APC CD11C				
119580	1	FSC-H	FSC				
119580	2	SSC-H	SSC				
119580	3	FL1-H	FITC CD56				
