FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
85933	4	FL2-H	PE CXCR3				
85933	5	FL3-H	PP CD8				
85933	6	FL4-H	APC CCR5				
107263	1	FSC-H	FSC				
107263	2	SSC-H	SSC				
107263	3	FL1-H	FITC CD56				
107263	4	FL2-H	PE CXCR3				
107263	5	FL3-H	PP CD3				
107263	6	FL4-H	APC CCR5				
146467	1	FSC-H	FSC				
146467	2	SSC-H	SSC				
146467	3	FL1-H	AUTO1				
146467	4	FL2-H	AUTO2				
146467	5	FL3-H	AUTO3				
146467	6	FL4-H	AUTO4				
148460	1	FSC-H	Forward Scatter				
148460	2	SSC-H	Side Scatter				
148460	3	FL1-H	Anti-HLA-DR FITC				
148460	4	FL2-H	PE CD123				
148460	5	FL3-H	PP CD3 14 19 56				
148460	6	FL4-H	APC CD11C				
142618	1	FSC-H	FSC				
142618	2	SSC-H	SSC				
142618	3	FL1-H	FITC CD14				
142618	4	FL2-H	PE CD23				
142618	5	FL3-H	PP CD3				
142618	6	FL4-H	APC CD19				
94036	1	FSC-H	FSC				
94036	2	SSC-H	SSC				
94036	3	FL1-H	FITC CD4				
94036	4	FL2-H	PE CCR3				
94036	5	FL3-H	PP CD8				
94036	6	FL4-H	APC CCR4				
107139	1	FSC-H	FSC				
107139	2	SSC-H	SSC				
107139	3	FL1-H	FITC CD4				
107139	4	FL2-H	PE CD25				
107139	5	FL3-H	PP CD3				
107139	6	FL4-H	APC CD161				
120145	1	FSC-H	FSC				
120145	2	SSC-H	SSC				
120145	3	FL1-H	FITC CD4				
120145	4	FL2-H	PE CD25				
120145	5	FL3-H	PP CD3				
120145	6	FL4-H	APC CD45RA				
150413	1	FSC-H	FSC				
150413	2	SSC-H	SSC				
150413	3	FL1-H	FITC CD4				
150413	4	FL2-H	PE CD25				
150413	5	FL3-H	PP CD3				
150413	6	FL4-H	APC CD45RO				
83795	1	FSC-H	FSC				
83795	2	SSC-H	SSC				
83795	3	FL1-H	FITC CD4				
83795	4	FL2-H	PE CXCR3				
83795	5	FL3-H	PP CD8				
83795	6	FL4-H	APC CCR5				
78738	1	FSC-H	FSC				
78738	2	SSC-H	SSC				
78738	3	FL1-H	FITC CD56				
78738	4	FL2-H	PE CXCR3				
78738	5	FL3-H	PP CD3				
78738	6	FL4-H	APC CCR5				
125573	1	FSC-H	FSC				
125573	2	SSC-H	SSC				
125573	3	FL1-H	AUTO1				
125573	4	FL2-H	AUTO2				
125573	5	FL3-H	AUTO3				
125573	6	FL4-H	AUTO4				
131223	1	FSC-H	Forward Scatter				
131223	2	SSC-H	Side Scatter				
131223	3	FL1-H	Anti-HLA-DR FITC				
131223	4	FL2-H	PE CD123				
131223	5	FL3-H	PP CD3 14 19 56				
131223	6	FL4-H	APC CD11C				
134843	1	FSC-H	FSC				
134843	2	SSC-H	SSC				
134843	3	FL1-H	FITC CD14				
134843	4	FL2-H	PE CD23				
134843	5	FL3-H	PP CD3				
134843	6	FL4-H	APC CD19				
141769	1	FSC-H	FSC				
141769	2	SSC-H	SSC				
141769	3	FL1-H	FITC CD4				
141769	4	FL2-H	PE CCR3				
141769	5	FL3-H	PP CD8				
141769	6	FL4-H	APC CCR4				
137031	1	FSC-H	FSC				
137031	2	SSC-H	SSC				
137031	3	FL1-H	FITC CD4				
137031	4	FL2-H	PE CD25				
137031	5	FL3-H	PP CD3				
137031	6	FL4-H	APC CD161				
94698	1	FSC-H	FSC				
94698	2	SSC-H	SSC				
94698	3	FL1-H	FITC CD4				
94698	4	FL2-H	PE CD25				
94698	5	FL3-H	PP CD3				
94698	6	FL4-H	APC CD45RA				
137701	1	FSC-H	FSC				
137701	2	SSC-H	SSC				
137701	3	FL1-H	FITC CD4				
137701	4	FL2-H	PE CD25				
137701	5	FL3-H	PP CD3				
137701	6	FL4-H	APC CD45RO				
125296	1	FSC-H	FSC				
125296	2	SSC-H	SSC				
125296	3	FL1-H	FITC CD4				
125296	4	FL2-H	PE CXCR3				
125296	5	FL3-H	PP CD8				
125296	6	FL4-H	APC CCR5				
142931	1	FSC-H	FSC				
142931	2	SSC-H	SSC				
142931	3	FL1-H	FITC CD56				
142931	4	FL2-H	PE CXCR3				
142931	5	FL3-H	PP CD3				
142931	6	FL4-H	APC CCR5				
100505	1	FSC-H	FSC				
100505	2	SSC-H	SSC				
100505	3	FL1-H	AUTO1				
100505	4	FL2-H	AUTO2				
100505	5	FL3-H	AUTO3				
100505	6	FL4-H	AUTO4				
133022	1	FSC-H	Forward Scatter				
133022	2	SSC-H	Side Scatter				
133022	3	FL1-H	Anti-HLA-DR FITC				
133022	4	FL2-H	PE CD123				
133022	5	FL3-H	PP CD3 14 19 56				
133022	6	FL4-H	APC CD11C				
96010	1	FSC-H	FSC				
96010	2	SSC-H	SSC				
96010	3	FL1-H	FITC CD14				
96010	4	FL2-H	PE CD23				
96010	5	FL3-H	PP CD3				
96010	6	FL4-H	APC CD19				
86159	1	FSC-H	FSC				
86159	2	SSC-H	SSC				
86159	3	FL1-H	FITC CD4				
86159	4	FL2-H	PE CCR3				
86159	5	FL3-H	PP CD8				
86159	6	FL4-H	APC CCR4				
134571	1	FSC-H	FSC				
134571	2	SSC-H	SSC				
134571	3	FL1-H	FITC CD4				
134571	4	FL2-H	PE CD25				
134571	5	FL3-H	PP CD3				
134571	6	FL4-H	APC CD161				
115055	1	FSC-H	FSC				
115055	2	SSC-H	SSC				
115055	3	FL1-H	FITC CD4				
115055	4	FL2-H	PE CD25				
115055	5	FL3-H	PP CD3				
115055	6	FL4-H	APC CD45RA				
114725	1	FSC-H	FSC				
114725	2	SSC-H	SSC				
114725	3	FL1-H	FITC CD4				
114725	4	FL2-H	PE CD25				
114725	5	FL3-H	PP CD3				
114725	6	FL4-H	APC CD45RO				
118090	1	FSC-H	FSC				
118090	2	SSC-H	SSC				
118090	3	FL1-H	FITC CD4				
118090	4	FL2-H	PE CXCR3				
118090	5	FL3-H	PP CD8				
118090	6	FL4-H	APC CCR5				
98737	1	FSC-H	FSC				
98737	2	SSC-H	SSC				
98737	3	FL1-H	FITC CD56				
98737	4	FL2-H	PE CXCR3				
98737	5	FL3-H	PP CD3				
98737	6	FL4-H	APC CCR5				
115771	1	FSC-H	FSC				
115771	2	SSC-H	SSC				
115771	3	FL1-H	AUTO1				
115771	4	FL2-H	AUTO2				
115771	5	FL3-H	AUTO3				
