EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES104155	EXP3727	68049	Flow_Cytometry	FCM
ES104156	EXP3727	68055	Flow_Cytometry	FCM
ES104160	EXP3727	68057	Flow_Cytometry	FCM
ES104161	EXP3727	68059	Flow_Cytometry	FCM
ES104172	EXP3727	68972	Flow_Cytometry	FCM
ES104174	EXP3727	68969	Flow_Cytometry	FCM
ES104181	EXP3727	69785	Flow_Cytometry	FCM
ES104189	EXP3727	69667	Flow_Cytometry	FCM
ES104189	EXP3727	69666	Flow_Cytometry	FCM
ES104190	EXP3727	69658	Flow_Cytometry	FCM
ES104195	EXP3727	69652	Flow_Cytometry	FCM
ES104201	EXP3727	69041	Flow_Cytometry	FCM
ES104203	EXP3727	69043	Flow_Cytometry	FCM
ES104217	EXP3727	69015	Flow_Cytometry	FCM
ES104219	EXP3727	69011	Flow_Cytometry	FCM
ES104222	EXP3727	69017	Flow_Cytometry	FCM
ES104225	EXP3727	68991	Flow_Cytometry	FCM
ES104226	EXP3727	68997	Flow_Cytometry	FCM
ES104227	EXP3727	68987	Flow_Cytometry	FCM
ES104229	EXP3727	68989	Flow_Cytometry	FCM
ES104232	EXP3727	69001	Flow_Cytometry	FCM
ES104235	EXP3727	69870	Flow_Cytometry	FCM
ES104240	EXP3727	69878	Flow_Cytometry	FCM
ES104242	EXP3727	68188	Flow_Cytometry	FCM
ES104243	EXP3727	68180	Flow_Cytometry	FCM
ES104247	EXP3727	68178	Flow_Cytometry	FCM
ES104257	EXP3727	69815	Flow_Cytometry	FCM
ES104259	EXP3727	69827	Flow_Cytometry	FCM
ES104263	EXP3727	70338	Flow_Cytometry	FCM
ES104269	EXP3727	69067	Flow_Cytometry	FCM
ES104276	EXP3727	69071	Flow_Cytometry	FCM
ES104279	EXP3727	69928	Flow_Cytometry	FCM
ES104290	EXP3727	67857	Flow_Cytometry	FCM
ES104292	EXP3727	67854	Flow_Cytometry	FCM
ES104297	EXP3727	70425	Flow_Cytometry	FCM
ES104299	EXP3727	70426	Flow_Cytometry	FCM
ES104302	EXP3727	70429	Flow_Cytometry	FCM
ES104308	EXP3727	69417	Flow_Cytometry	FCM
ES104309	EXP3727	69423	Flow_Cytometry	FCM
ES104311	EXP3727	69428	Flow_Cytometry	FCM
ES104316	EXP3727	70321	Flow_Cytometry	FCM
ES104325	EXP3727	69033	Flow_Cytometry	FCM
ES104327	EXP3727	69029	Flow_Cytometry	FCM
