FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	PURPOSE	WORKSPACE_ID
64467	Flow cytometry result in fcs format	242048	09123351.004.fcs	Flow cytometry result	990
64468	Flow cytometry result in text format	469950	09123351.004.txt	Flow cytometry result	990
64469	Flow cytometry result in fcs format	242048	09123351.005.fcs	Flow cytometry result	990
64470	Flow cytometry result in text format	465702	09123351.005.txt	Flow cytometry result	990
64471	Flow cytometry result in fcs format	242048	09123351.006.fcs	Flow cytometry result	990
64472	Flow cytometry result in text format	470653	09123351.006.txt	Flow cytometry result	990
64473	Flow cytometry result in fcs format	242048	09123351.007.fcs	Flow cytometry result	990
64474	Flow cytometry result in text format	469404	09123351.007.txt	Flow cytometry result	990
64475	Flow cytometry result in fcs format	242048	09123351.008.fcs	Flow cytometry result	990
64476	Flow cytometry result in text format	451561	09123351.008.txt	Flow cytometry result	990
64477	Flow cytometry result in fcs format	2402048	09123352.001.fcs	Flow cytometry result	990
64478	Flow cytometry result in text format	4718763	09123352.001.txt	Flow cytometry result	990
64479	Flow cytometry result in fcs format	242048	09123361.001.fcs	Flow cytometry result	990
64480	Flow cytometry result in text format	474082	09123361.001.txt	Flow cytometry result	990
64481	Flow cytometry result in fcs format	242048	09123361.002.fcs	Flow cytometry result	990
64482	Flow cytometry result in text format	467339	09123361.002.txt	Flow cytometry result	990
64483	Flow cytometry result in fcs format	242048	09123361.003.fcs	Flow cytometry result	990
64484	Flow cytometry result in text format	463189	09123361.003.txt	Flow cytometry result	990
64485	Flow cytometry result in fcs format	242048	09123361.004.fcs	Flow cytometry result	990
64486	Flow cytometry result in text format	473860	09123361.004.txt	Flow cytometry result	990
64487	Flow cytometry result in fcs format	242048	09123361.005.fcs	Flow cytometry result	990
64488	Flow cytometry result in text format	467923	09123361.005.txt	Flow cytometry result	990
64489	Flow cytometry result in fcs format	242048	09123361.006.fcs	Flow cytometry result	990
64490	Flow cytometry result in text format	472564	09123361.006.txt	Flow cytometry result	990
64491	Flow cytometry result in fcs format	242048	09123361.007.fcs	Flow cytometry result	990
64492	Flow cytometry result in text format	470273	09123361.007.txt	Flow cytometry result	990
64493	Flow cytometry result in fcs format	242048	09123361.008.fcs	Flow cytometry result	990
64494	Flow cytometry result in text format	454307	09123361.008.txt	Flow cytometry result	990
64495	Flow cytometry result in fcs format	1487768	09123362.001.fcs	Flow cytometry result	990
64496	Flow cytometry result in text format	2913962	09123362.001.txt	Flow cytometry result	990
64497	Flow cytometry result in fcs format	242048	09123371.001.fcs	Flow cytometry result	990
64498	Flow cytometry result in text format	472041	09123371.001.txt	Flow cytometry result	990
64499	Flow cytometry result in fcs format	242048	09123371.002.fcs	Flow cytometry result	990
64500	Flow cytometry result in text format	466181	09123371.002.txt	Flow cytometry result	990
64501	Flow cytometry result in fcs format	242048	09123371.003.fcs	Flow cytometry result	990
64502	Flow cytometry result in text format	463457	09123371.003.txt	Flow cytometry result	990
64503	Flow cytometry result in fcs format	242048	09123371.004.fcs	Flow cytometry result	990
64504	Flow cytometry result in text format	472102	09123371.004.txt	Flow cytometry result	990
64505	Flow cytometry result in fcs format	242048	09123371.005.fcs	Flow cytometry result	990
64506	Flow cytometry result in text format	469482	09123371.005.txt	Flow cytometry result	990
64507	Flow cytometry result in fcs format	242048	09123371.006.fcs	Flow cytometry result	990
64508	Flow cytometry result in text format	470688	09123371.006.txt	Flow cytometry result	990
64509	Flow cytometry result in fcs format	242048	09123371.007.fcs	Flow cytometry result	990
64510	Flow cytometry result in text format	473552	09123371.007.txt	Flow cytometry result	990
64511	Flow cytometry result in fcs format	242048	09123371.008.fcs	Flow cytometry result	990
64512	Flow cytometry result in text format	450882	09123371.008.txt	Flow cytometry result	990
64513	Flow cytometry result in fcs format	2402048	09123372.001.fcs	Flow cytometry result	990
64514	Flow cytometry result in text format	4719703	09123372.001.txt	Flow cytometry result	990
64515	Flow cytometry result in fcs format	242048	09123381.001.fcs	Flow cytometry result	990
64516	Flow cytometry result in text format	469770	09123381.001.txt	Flow cytometry result	990
64517	Flow cytometry result in fcs format	242048	09123381.002.fcs	Flow cytometry result	990
64518	Flow cytometry result in text format	464472	09123381.002.txt	Flow cytometry result	990
64519	Flow cytometry result in fcs format	242048	09123381.003.fcs	Flow cytometry result	990
64520	Flow cytometry result in text format	461968	09123381.003.txt	Flow cytometry result	990
64521	Flow cytometry result in fcs format	242048	09123381.004.fcs	Flow cytometry result	990
64522	Flow cytometry result in text format	471352	09123381.004.txt	Flow cytometry result	990
64523	Flow cytometry result in fcs format	242048	09123381.005.fcs	Flow cytometry result	990
64524	Flow cytometry result in text format	464685	09123381.005.txt	Flow cytometry result	990
64525	Flow cytometry result in fcs format	242048	09123381.006.fcs	Flow cytometry result	990
64526	Flow cytometry result in text format	468521	09123381.006.txt	Flow cytometry result	990
64527	Flow cytometry result in fcs format	242048	09123381.007.fcs	Flow cytometry result	990
64528	Flow cytometry result in text format	469299	09123381.007.txt	Flow cytometry result	990
64529	Flow cytometry result in fcs format	242048	09123381.008.fcs	Flow cytometry result	990
64530	Flow cytometry result in text format	453650	09123381.008.txt	Flow cytometry result	990
64531	Flow cytometry result in fcs format	1148828	09123382.001.fcs	Flow cytometry result	990
64532	Flow cytometry result in text format	2248152	09123382.001.txt	Flow cytometry result	990
64533	Flow cytometry result in fcs format	242048	09123391.001.fcs	Flow cytometry result	990
64534	Flow cytometry result in text format	474614	09123391.001.txt	Flow cytometry result	990
64535	Flow cytometry result in fcs format	242048	09123391.002.fcs	Flow cytometry result	990
64536	Flow cytometry result in text format	475914	09123391.002.txt	Flow cytometry result	990
64537	Flow cytometry result in fcs format	242048	09123391.003.fcs	Flow cytometry result	990
64538	Flow cytometry result in text format	477016	09123391.003.txt	Flow cytometry result	990
64539	Flow cytometry result in fcs format	242048	09123391.004.fcs	Flow cytometry result	990
64540	Flow cytometry result in text format	480063	09123391.004.txt	Flow cytometry result	990
64541	Flow cytometry result in fcs format	242048	09123391.005.fcs	Flow cytometry result	990
64542	Flow cytometry result in text format	475954	09123391.005.txt	Flow cytometry result	990
64543	Flow cytometry result in fcs format	242048	09123391.006.fcs	Flow cytometry result	990
64544	Flow cytometry result in text format	478376	09123391.006.txt	Flow cytometry result	990
64545	Flow cytometry result in fcs format	242048	09123391.007.fcs	Flow cytometry result	990
64546	Flow cytometry result in text format	475504	09123391.007.txt	Flow cytometry result	990
64547	Flow cytometry result in fcs format	242048	09123391.008.fcs	Flow cytometry result	990
64548	Flow cytometry result in text format	468257	09123391.008.txt	Flow cytometry result	990
64549	Flow cytometry result in fcs format	2402048	09123392.001.fcs	Flow cytometry result	990
64550	Flow cytometry result in text format	4805012	09123392.001.txt	Flow cytometry result	990
64551	Flow cytometry result in fcs format	242048	09123401.001.fcs	Flow cytometry result	990
64552	Flow cytometry result in text format	476910	09123401.001.txt	Flow cytometry result	990
64553	Flow cytometry result in fcs format	242048	09123401.002.fcs	Flow cytometry result	990
64554	Flow cytometry result in text format	468807	09123401.002.txt	Flow cytometry result	990
64555	Flow cytometry result in fcs format	242048	09123401.003.fcs	Flow cytometry result	990
64556	Flow cytometry result in text format	466723	09123401.003.txt	Flow cytometry result	990
64557	Flow cytometry result in fcs format	242048	09123401.004.fcs	Flow cytometry result	990
64558	Flow cytometry result in text format	476039	09123401.004.txt	Flow cytometry result	990
64559	Flow cytometry result in fcs format	242048	09123401.005.fcs	Flow cytometry result	990
64560	Flow cytometry result in text format	476456	09123401.005.txt	Flow cytometry result	990
64561	Flow cytometry result in fcs format	242048	09123401.006.fcs	Flow cytometry result	990
64562	Flow cytometry result in text format	475219	09123401.006.txt	Flow cytometry result	990
64563	Flow cytometry result in fcs format	242048	09123401.007.fcs	Flow cytometry result	990
64564	Flow cytometry result in text format	471677	09123401.007.txt	Flow cytometry result	990
64565	Flow cytometry result in fcs format	242048	09123401.008.fcs	Flow cytometry result	990
64566	Flow cytometry result in text format	456766	09123401.008.txt	Flow cytometry result	990
64567	Flow cytometry result in fcs format	2402048	09123402.001.fcs	Flow cytometry result	990
64568	Flow cytometry result in text format	4747212	09123402.001.txt	Flow cytometry result	990
64569	Flow cytometry result in fcs format	242048	09123411.001.fcs	Flow cytometry result	990
64570	Flow cytometry result in text format	473967	09123411.001.txt	Flow cytometry result	990
64571	Flow cytometry result in fcs format	242048	09123411.002.fcs	Flow cytometry result	990
64572	Flow cytometry result in text format	467969	09123411.002.txt	Flow cytometry result	990
64573	Flow cytometry result in fcs format	242048	09123411.003.fcs	Flow cytometry result	990
64574	Flow cytometry result in text format	464779	09123411.003.txt	Flow cytometry result	990
64575	Flow cytometry result in fcs format	242048	09123411.004.fcs	Flow cytometry result	990
64576	Flow cytometry result in text format	473467	09123411.004.txt	Flow cytometry result	990
64577	Flow cytometry result in fcs format	242048	09123411.005.fcs	Flow cytometry result	990
64578	Flow cytometry result in text format	467735	09123411.005.txt	Flow cytometry result	990
64579	Flow cytometry result in fcs format	242048	09123411.006.fcs	Flow cytometry result	990
64580	Flow cytometry result in text format	473252	09123411.006.txt	Flow cytometry result	990
64581	Flow cytometry result in fcs format	242048	09123411.007.fcs	Flow cytometry result	990
64582	Flow cytometry result in text format	471499	09123411.007.txt	Flow cytometry result	990
64583	Flow cytometry result in fcs format	242048	09123411.008.fcs	Flow cytometry result	990
64584	Flow cytometry result in text format	459025	09123411.008.txt	Flow cytometry result	990
64585	Flow cytometry result in fcs format	2094728	09123412.001.fcs	Flow cytometry result	990
64586	Flow cytometry result in text format	4129511	09123412.001.txt	Flow cytometry result	990
64587	Flow cytometry result in fcs format	242048	09153021.001.fcs	Flow cytometry result	990
64588	Flow cytometry result in text format	471205	09153021.001.txt	Flow cytometry result	990
64589	Flow cytometry result in fcs format	242048	09153021.002.fcs	Flow cytometry result	990
64590	Flow cytometry result in text format	461760	09153021.002.txt	Flow cytometry result	990
64591	Flow cytometry result in fcs format	242048	09153021.003.fcs	Flow cytometry result	990
64592	Flow cytometry result in text format	454042	09153021.003.txt	Flow cytometry result	990
64593	Flow cytometry result in fcs format	242048	09153021.004.fcs	Flow cytometry result	990
64594	Flow cytometry result in text format	467120	09153021.004.txt	Flow cytometry result	990
64595	Flow cytometry result in fcs format	242048	09153021.005.fcs	Flow cytometry result	990
64596	Flow cytometry result in text format	466681	09153021.005.txt	Flow cytometry result	990
64597	Flow cytometry result in fcs format	242048	09153021.006.fcs	Flow cytometry result	990
64598	Flow cytometry result in text format	466477	09153021.006.txt	Flow cytometry result	990
64599	Flow cytometry result in fcs format	242048	09153021.007.fcs	Flow cytometry result	990
64600	Flow cytometry result in text format	468322	09153021.007.txt	Flow cytometry result	990
64601	Flow cytometry result in fcs format	242048	09153021.008.fcs	Flow cytometry result	990
64602	Flow cytometry result in text format	438815	09153021.008.txt	Flow cytometry result	990
64603	Flow cytometry result in fcs format	2402048	09153022.001.fcs	Flow cytometry result	990
64604	Flow cytometry result in text format	4705913	09153022.001.txt	Flow cytometry result	990
64605	Flow cytometry result in fcs format	242048	09153041.001.fcs	Flow cytometry result	990
64606	Flow cytometry result in text format	473432	09153041.001.txt	Flow cytometry result	990
64607	Flow cytometry result in fcs format	242048	09153041.002.fcs	Flow cytometry result	990
64608	Flow cytometry result in text format	461418	09153041.002.txt	Flow cytometry result	990
64609	Flow cytometry result in fcs format	242048	09153041.003.fcs	Flow cytometry result	990
64610	Flow cytometry result in text format	465387	09153041.003.txt	Flow cytometry result	990
64611	Flow cytometry result in fcs format	242048	09153041.004.fcs	Flow cytometry result	990
64612	Flow cytometry result in text format	472393	09153041.004.txt	Flow cytometry result	990
64613	Flow cytometry result in fcs format	242048	09153041.005.fcs	Flow cytometry result	990
64614	Flow cytometry result in text format	462336	09153041.005.txt	Flow cytometry result	990
64615	Flow cytometry result in fcs format	242048	09153041.006.fcs	Flow cytometry result	990
64616	Flow cytometry result in text format	478392	09153041.006.txt	Flow cytometry result	990
64617	Flow cytometry result in fcs format	242048	09153041.007.fcs	Flow cytometry result	990
